TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
0,0,0,0.16,0.14,0,0,0.02,0,0,0,0,0.04,0.06,0,0,0.2,0,0,0,0,0,0,0,0,0,0
0,0,0.14,0.18,0.04,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,0,0,0,0,7.31999999999999,0,0
0,0,8.16,0.14,0.08,0,0,0.02,0,0.08,0.12,0,0.04,0,0,0,0,0.12,0.05,0,0,0.2,0.27,0.03,0.06,0,0
0,0,16.68,7.48999999999999,3.64,11.14,55.2,0.25,0.61,0.14,1.61,30.89,16.49,0,0,0,4.39,15.84,0,0,0,0,0,0,2.79,0,0
0,0,20.98,0.88,0.77,0.12,0.08,0.33,0.06,0.06,0.06,4.16,0.95,0,0,0,0.48,14.56,0.35,0.18,0.2,0.2,0.68,0.8,1.17,0,0
0,0,1.27,0.1,0.1,0.17,0,0.02,0,0,0.02,0,0.08,0,0,0,0.18,0.1,0,0,0,0,0,0,0.08,2.18,0
0,0,0.02,0.06,0,0,0,0,0,0.1,0.02,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0.1,0.02,0
0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,3.48,1.85,0,0,0,0,0,0,0,0,0,0,0.39
0.08,0.6,0,0,0,0,0,0,1.95,0,0,0,0,6.82,5.4,0.02,0,0,0,0,0,0,0,0,0,2.39,0.84
0,0,0,0.02,0,0,0,0,19.84,2.56,7.18,0,0,14.85,0,0.55,0.7,0.02,0,0,0,0,0.04,0,0,54.59,44.94
0.02,15.2,0,0,0,0.7,11.7,0,1.68,6.42999999999999,0.02,0,0,4.31,0.83,0.12,0,0,0,0,0,0,0,0.13,0.06,0.22,1.71
0,0,0,0.04,0,0,0.04,0.02,1.21,0.08,0,0,0,0.43,0.67,1.23,0,0,0,0,0,0,0,0.02,0,5.95,0
0.08,5,0.04,0.12,0.06,0,0.12,0,6.49,0.1,0.22,0,0,12.68,0.02,2.31,0.04,0.14,0,0,0.4,0,0,0.02,0.02,0.08,0
7.86,8.6,0.04,0.02,6.39,40.66,0.02,0.08,3.2,4.76999999999999,0.04,0,2.67,46.76,41.06,6.05,0,0,0,0,0.6,0,0,0.04,0,1.59,0.54
12.14,32.6,0.04,0.18,1.63,3.61,0.2,0.73,5.19,0.52,5.15999999999999,0.1,24.8,13.16,44.62,1.65,0.04,0,0,0,0,0,0,0.96,1.34,0,0.63
7.35,0,0.54,0.02,0.61,5.7,4.85,1.43,0.54,3.28,10.7,0.52,0.02,0.06,0,0,12.6,0.06,0,0,0,0,0,0.2,26.44,0,0.04
